
===============================================================
                Cortex-M3 ICODE BUS TRACE
===============================================================

TIME(ns)     ADDRESS      INSTRUCTION    HTRANS   HRESP
---------------------------------------------------------------
 17480.000ns   00000000   2000fc00      NONSEQ      OKAY
 17520.000ns   00000004   00000125      NONSEQ      OKAY
 17640.000ns   00000124   4a0c490b      NONSEQ      OKAY
 17680.000ns   00000128   1a9b4b0c      NONSEQ      OKAY
 17720.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 17880.000ns   00000130   50d058c8      NONSEQ      OKAY
 17920.000ns   00000134   490adcfb      NONSEQ      OKAY
 17960.000ns   00000134   490adcfb      NONSEQ      OKAY
 18000.000ns   00000138   20004a0a      NONSEQ      OKAY
 18200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 18240.000ns   00000130   50d058c8      NONSEQ      OKAY
 18360.000ns   00000134   490adcfb      NONSEQ      OKAY
 18400.000ns   00000138   20004a0a      NONSEQ      OKAY
 18600.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 18640.000ns   00000130   50d058c8      NONSEQ      OKAY
 18760.000ns   00000134   490adcfb      NONSEQ      OKAY
 18800.000ns   00000138   20004a0a      NONSEQ      OKAY
 19000.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 19040.000ns   00000130   50d058c8      NONSEQ      OKAY
 19160.000ns   00000134   490adcfb      NONSEQ      OKAY
 19200.000ns   00000138   20004a0a      NONSEQ      OKAY
 19400.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 19440.000ns   00000130   50d058c8      NONSEQ      OKAY
 19560.000ns   00000134   490adcfb      NONSEQ      OKAY
 19600.000ns   00000138   20004a0a      NONSEQ      OKAY
 19800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 19840.000ns   00000130   50d058c8      NONSEQ      OKAY
 19960.000ns   00000134   490adcfb      NONSEQ      OKAY
 20000.000ns   00000138   20004a0a      NONSEQ      OKAY
 20200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 20240.000ns   00000130   50d058c8      NONSEQ      OKAY
 20360.000ns   00000134   490adcfb      NONSEQ      OKAY
 20400.000ns   00000138   20004a0a      NONSEQ      OKAY
 20600.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 20640.000ns   00000130   50d058c8      NONSEQ      OKAY
 20760.000ns   00000134   490adcfb      NONSEQ      OKAY
 20800.000ns   00000138   20004a0a      NONSEQ      OKAY
 21000.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 21040.000ns   00000130   50d058c8      NONSEQ      OKAY
 21160.000ns   00000134   490adcfb      NONSEQ      OKAY
 21200.000ns   00000138   20004a0a      NONSEQ      OKAY
 21400.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 21440.000ns   00000130   50d058c8      NONSEQ      OKAY
 21560.000ns   00000134   490adcfb      NONSEQ      OKAY
 21600.000ns   00000138   20004a0a      NONSEQ      OKAY
 21800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 21840.000ns   00000130   50d058c8      NONSEQ      OKAY
 21960.000ns   00000134   490adcfb      NONSEQ      OKAY
 22000.000ns   00000138   20004a0a      NONSEQ      OKAY
 22200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 22240.000ns   00000130   50d058c8      NONSEQ      OKAY
 22360.000ns   00000134   490adcfb      NONSEQ      OKAY
 22400.000ns   00000138   20004a0a      NONSEQ      OKAY
 22600.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 22640.000ns   00000130   50d058c8      NONSEQ      OKAY
 22760.000ns   00000134   490adcfb      NONSEQ      OKAY
 22800.000ns   00000138   20004a0a      NONSEQ      OKAY
 23000.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 23040.000ns   00000130   50d058c8      NONSEQ      OKAY
 23160.000ns   00000134   490adcfb      NONSEQ      OKAY
 23200.000ns   00000138   20004a0a      NONSEQ      OKAY
 23400.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 23440.000ns   00000130   50d058c8      NONSEQ      OKAY
 23560.000ns   00000134   490adcfb      NONSEQ      OKAY
 23600.000ns   00000138   20004a0a      NONSEQ      OKAY
 23800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 23840.000ns   00000130   50d058c8      NONSEQ      OKAY
 23960.000ns   00000134   490adcfb      NONSEQ      OKAY
 24000.000ns   00000138   20004a0a      NONSEQ      OKAY
 24200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 24240.000ns   00000130   50d058c8      NONSEQ      OKAY
 24360.000ns   00000134   490adcfb      NONSEQ      OKAY
 24400.000ns   00000138   20004a0a      NONSEQ      OKAY
 24600.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 24640.000ns   00000130   50d058c8      NONSEQ      OKAY
 24760.000ns   00000134   490adcfb      NONSEQ      OKAY
 24800.000ns   00000138   20004a0a      NONSEQ      OKAY
 25000.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 25040.000ns   00000130   50d058c8      NONSEQ      OKAY
 25160.000ns   00000134   490adcfb      NONSEQ      OKAY
 25200.000ns   00000138   20004a0a      NONSEQ      OKAY
 25400.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 25440.000ns   00000130   50d058c8      NONSEQ      OKAY
 25560.000ns   00000134   490adcfb      NONSEQ      OKAY
 25600.000ns   00000138   20004a0a      NONSEQ      OKAY
 25800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 25840.000ns   00000130   50d058c8      NONSEQ      OKAY
 25960.000ns   00000134   490adcfb      NONSEQ      OKAY
 26000.000ns   00000138   20004a0a      NONSEQ      OKAY
 26200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 26240.000ns   00000130   50d058c8      NONSEQ      OKAY
 26360.000ns   00000134   490adcfb      NONSEQ      OKAY
 26400.000ns   00000138   20004a0a      NONSEQ      OKAY
 26600.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 26640.000ns   00000130   50d058c8      NONSEQ      OKAY
 26760.000ns   00000134   490adcfb      NONSEQ      OKAY
 26800.000ns   00000138   20004a0a      NONSEQ      OKAY
 27000.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 27040.000ns   00000130   50d058c8      NONSEQ      OKAY
 27160.000ns   00000134   490adcfb      NONSEQ      OKAY
 27200.000ns   00000138   20004a0a      NONSEQ      OKAY
 27400.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 27440.000ns   00000130   50d058c8      NONSEQ      OKAY
 27560.000ns   00000134   490adcfb      NONSEQ      OKAY
 27600.000ns   00000138   20004a0a      NONSEQ      OKAY
 27800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 27840.000ns   00000130   50d058c8      NONSEQ      OKAY
 27960.000ns   00000134   490adcfb      NONSEQ      OKAY
